Ɂ,Ɂ
l{1}\u0313{2},l{1}\u02C0{2}
m{1}\u0313{2},m{1}\u02C0{2}
ʔm,ʔm
n{1}\u0313{2},n{1}\u02C0{2}
ʔn,ʔn
ʔw,ʔw
w{1}\u0313{2},w{1}\u02C0{2}
ʔ{1}y{2},ʔ{1}j{2}
y{1}\u0313{2},\u02C0{2}j{1}
ʔi,ʔi
?{1}\u2071{2},ʔ{1}\u2071{2}
æ,æ
æː,æː
b,b
d,d
e,e
eː,eː
ɛ,ɛ
ɡ,ɡ
ɡʷ,ɡʷ
h,h
ɬ,ɬ
i,i
iː,iː
ʒ{1},ʣ{1}
k,k
kʰ,kʰ
qʰ,qʰ
q,q
k{1}\u0313{2},k{1}\u02C0{2}
ʔk,ʔk
ʔq,ʔq
ʔqʰ,ʔqʰ
q{1}\u0313{2},q{1}\u02C0{2}
kʷ,kʷ
kʷʰ,kʷʰ
ʔkʷ,ʔkʷ
ʔkʷʰ,ʔkʷʰ
k{1}\u0313{2}ʷ{3},k{1}ʷ{3}\u02C0{2}
ʔɡʷ,ʔɡʷ
l,l
m,m
n,n
oː,oː
p,p
pʰ,pʰ
ʔpʰ,ʔpʰ
ʔp,ʔp
p{1}\u0313{2},p{1}\u02C0{2}
ʔb,ʔb
s,s
t,t
tʰ,tʰ
ʔt,ʔt
ʔtʰ,ʔtʰ
t{1}\u0313{2},t{1}\u2C0{2}
ʔd,ʔd
ʔ{1}ƛ{2},ʔ{1}t{2}\u0361{4}ɬ{3}
ƛ{1}\u0313{2},t{1}\u0361{4}ɬ{3}\u02C0{2}
c{1}ʰ{2},ʦ{1}ʰ{2}
c{1},ʦ{1}
ʔ{1}c{2},ʔ{1}ʦ{2}
c{1}\u0313{2},ʦ{1}\u02C0{2}
ʔ{1}c{2}ʰ{3},ʔ{1}ʦ{2}ʰ{3}
ω{1},ʊ{1}\u031E{2}
uː,uː
w,w
x,x
x{1}\u0323{2},χ{1}
xʷ,xʷ
y{1},j{2}
